,classification_id,user_id,workflow_id,annotations,subject_ids,original_annotations,most_similar,codes
3398,389129964,342263,20494,sources,71287248, two sources,source,55
3399,389129964,342263,20494,merger,71287248, galaxy merger,merger,158
3400,389129964,342263,20494,ring,71287248, ring,ring,164
3401,389129964,342263,20494,lens,71287248, lens,lens,165
3402,389130043,342263,20494,single component,71287084,single component,component,2
3403,389130043,342263,20494,disk,71287084, emission from disk,disk,22
3404,389130043,342263,20494,host,71287084, host ,host,56
3405,389130087,342263,20494,single component,71287200,single component,component,2
3406,389130087,342263,20494,blended,71287200, blended ,blend,153
3407,389130116,342263,20494,single component,71287256,single component,component,2
3408,389130148,342263,20494,single component,71287196,single component,component,2
3409,389130204,342263,20494,single component,71287125,single component,component,2
3410,389130204,342263,20494,double,71287125, double,double,35
3411,389130204,342263,20494,host,71287125, host,host,56
3412,389130204,342263,20494,edge brightened,71287125, edge brightened ,brighten,129
3413,389130233,342263,20494,single component,71287157,single component,component,2
3414,389130233,342263,20494,host,71287157, host ,host,56
3415,389130336,342263,20494,single component,71287051,single component,component,2
3416,389130336,342263,20494,double,71287051, double,double,35
3417,389130336,342263,20494,blended,71287051, blended,blend,153
3418,389130336,342263,20494,host,71287051, host ,host,56
3419,389130397,342263,20494,single component,71287266,single component,component,2
3420,389130397,342263,20494,host,71287266, host,host,56
3421,389130397,342263,20494,extended,71287266, extended,extend,1
3422,389130397,342263,20494,disk,71287266, emission from galaxy disk ,disk,22
3423,389130443,342263,20494,single component,71287229,single component,component,2
3424,389130443,342263,20494,double,71287229, double,double,35
3425,389130443,342263,20494,blended,71287229, blended,blend,153
3426,389130443,342263,20494,host,71287229, no host ,host,56
3427,389130512,342263,20494,elongated,71287191,elongated,elongate,7
3428,389130512,342263,20494,single component,71287191, single component,component,2
3429,389130512,342263,20494,bent,71287191, bent,bent,34
3430,389130512,342263,20494,tail,71287191, tail,tail,8
3431,389130512,342263,20494,straight,71287191, straight,straight,160
3432,389130512,342263,20494,host,71287191, host ,host,56
3433,389130537,342263,20494,single component,71287135,single component,component,2
3434,389130537,342263,20494,host,71287135, host ,host,56
3435,389130589,342263,20494,single component,71287008,single component,component,2
3436,389130589,342263,20494,tail,71287008, tail,tail,8
3437,389130589,342263,20494,host,71287008, no host ,host,56
3438,389130706,342263,20494,components,71287132,two components,component,2
3439,389130706,342263,20494,host,71287132, host,host,56
3440,389130706,342263,20494,bent,71287132, bent,bent,34
3441,389130706,342263,20494,centre,71287132, off centre ,centre,162
3442,389130775,342263,20494,single component,71287105,single component,component,2
3443,389130775,342263,20494,bent,71287105, bent,bent,34
3444,389130775,342263,20494,frame,71287105, off frame,frame,148
3445,389130775,342263,20494,host,71287105, host,host,56
3446,389130775,342263,20494,edge brightened,71287105, edge brightened ,brighten,129
3447,389130835,342263,20494,single component,71287291,single component,component,2
3448,389130835,342263,20494,bent,71287291, bent,bent,34
3449,389130835,342263,20494,host,71287291, host,host,56
3450,389130930,342263,20494,single component,71287163,single component,component,2
3451,389130930,342263,20494,complex,71287163, complex,complex,4
3452,389130930,342263,20494,double,71287163, double,double,35
3453,389130930,342263,20494,tail,71287163, tail,tail,8
3454,389130930,342263,20494,host,71287163, host,host,56
3455,389130930,342263,20494,diffuse,71287163, diffuse ,diffuse,20
3456,389131043,342263,20494,single component,71287280,single component,component,2
3457,389131043,342263,20494,host,71287280, host,host,56
3458,389131043,342263,20494,double,71287280, double,double,35
3459,389131043,342263,20494,bent,71287280, bent,bent,34
3460,389131043,342263,20494,diffuse,71287280, diffuse,diffuse,20
3461,389131043,342263,20494,edge brightened,71287280, edge brightened ,brighten,129
3462,389131155,342263,20494,components,71287027,two components,component,2
3463,389131155,342263,20494,uncertain host,71287027, uncertain host ,host,56
3464,389131211,342263,20494,single component,71287285,single component,component,2
3465,389131211,342263,20494,host,71287285, host,host,56
3466,389131211,342263,20494,blob,71287285, blob,blob,15
3467,389131211,342263,20494,large,71287285, large ,large,52
3468,389131256,342263,20494,single component,71287122,single component,component,2
3469,389131256,342263,20494,host,71287122, no host ,host,56
3470,389131364,342263,20494,single component,71287279,single component,component,2
3471,389131364,342263,20494,extended,71287279, extended,extend,1
3472,389131364,342263,20494,double,71287279, double,double,35
3473,389131364,342263,20494,triple,71287279, triple,double,35
3474,389131364,342263,20494,diffuse,71287279, diffuse,diffuse,20
3475,389131364,342263,20494,edge brightened,71287279, edge brightened ,brighten,129
3476,389131459,342263,20494,single component,71287269,single component,component,2
3477,389131459,342263,20494,bent,71287269, bent,bent,34
3478,389131459,342263,20494,complex,71287269, complex,complex,4
3479,389131459,342263,20494,host,71287269, host,host,56
3480,389131459,342263,20494,frame,71287269, off frame ,frame,148
3481,389131511,342263,20494,single component,71287074,single component,component,2
3482,389131511,342263,20494,host,71287074, host,host,56
3483,389131511,342263,20494,disk,71287074, emission from galaxy disk ,disk,22
3484,389131550,342263,20494,single component,71286998,single component,component,2
3485,389131550,342263,20494,host,71286998, host ,host,56
3486,389131613,342263,20494,single component,71287231,single component,component,2
3487,389131613,342263,20494,host,71287231, host,host,56
3488,389131613,342263,20494,disk,71287231, emission from galaxy disk ,disk,22
3489,389131765,342263,20494,single component,71287033,single component,component,2
3490,389131765,342263,20494,uncertain host,71287033, uncertain host,host,56
3491,389131765,342263,20494,nearby double,71287033, nearby double,nearby,70
3492,389131765,342263,20494,large,71287033, large,large,52
3493,389131765,342263,20494,lobe,71287033, lobe,lobe,36
3494,389131765,342263,20494,tail,71287033, tail,tail,8
3495,389131765,342263,20494,falling,71287033, falling ,fall,161
3496,389131779,342263,20494,single component,71287251,single component,component,2
3497,389131779,342263,20494,host,71287251, host ,host,56
3498,389131844,342263,20494,single component,71287189,single component,component,2
3499,389131844,342263,20494,host,71287189, host,host,56
3500,389131844,342263,20494,tail,71287189, tail,tail,8
3501,389131844,342263,20494,diffuse,71287189, diffuse ,diffuse,20
3502,389132223,342263,20494,single component,71287020,single component,component,2
3503,389132223,342263,20494,double,71287020, double,double,35
3504,389132223,342263,20494,extended,71287020, extended,extend,1
3505,389132223,342263,20494,bent,71287020, bent,bent,34
3506,389132223,342263,20494,frame,71287020, off frame,frame,148
3507,389132223,342263,20494,diffuse,71287020, diffuse,diffuse,20
3508,389132223,342263,20494,large,71287020, large ,large,52
3509,389132289,342263,20494,single component,71287284,single component,component,2
3510,389132289,342263,20494,elongated,71287284, elongated,elongate,7
3511,389132289,342263,20494,host,71287284, host ,host,56
3512,389132330,342263,20494,single component,71287129,single component,component,2
3513,389132330,342263,20494,small,71287129, small ,small,60
3514,389132451,342263,20494,single component,71287287,single component,component,2
3515,389132451,342263,20494,complex,71287287, complex,complex,4
3516,389132451,342263,20494,host,71287287, host,host,56
3517,389132451,342263,20494,tail,71287287, tail,tail,8
3518,389132451,342263,20494,bent,71287287, bent ,bent,34
3519,389132570,342263,20494,single component,71287013,single component,component,2
3520,389132570,342263,20494,double,71287013, double,double,35
3521,389132570,342263,20494,host,71287013, host,host,56
3522,389132570,342263,20494,blended,71287013, blended ,blend,153
3523,389132626,342263,20494,single component,71287005,single component,component,2
3524,389132626,342263,20494,host,71287005, host,host,56
3525,389132626,342263,20494,bent,71287005, bent ,bent,34
3526,389132673,342263,20494,single component,71287166,single component,component,2
3527,389132673,342263,20494,faint,71287166, faint ,faint,3
3528,389132747,342263,20494,single component,71287133,single component,component,2
3529,389132747,342263,20494,complex,71287133, complex,complex,4
3530,389132747,342263,20494,tail,71287133, tail,tail,8
3531,389132747,342263,20494,uncertain host,71287133, uncertain host ,host,56
3532,389132800,342263,20494,single component,71287221,single component,component,2
3533,389132800,342263,20494,blended,71287221, blended,blend,153
3534,389132800,342263,20494,host,71287221, no host ,host,56
3535,389132883,342263,20494,single component,71287187,single component,component,2
3536,389132883,342263,20494,bent,71287187, very bent,bent,34
3537,389132883,342263,20494,uncertain host,71287187, uncertain host,host,56
3538,389132883,342263,20494,falling,71287187, falling,fall,161
3539,389132883,342263,20494,tails,71287187, tails ,tail,8
3540,389132986,342263,20494,lobe,71287023,lobe,lobe,36
3541,389132986,342263,20494,single component,71287023, single component,component,2
3542,389132986,342263,20494,host,71287023, host,host,56
3543,389132986,342263,20494,circular,71287023, circular ,circular,166
3544,389133091,342263,20494,single component,71287054,single component,component,2
3545,389133091,342263,20494,uncertain host,71287054, uncertain host,host,56
3546,389133091,342263,20494,diffuse,71287054, diffuse,diffuse,20
3547,389133091,342263,20494,complex,71287054, complex,complex,4
3548,389133091,342263,20494,extended,71287054, extended,extend,1
3549,389133091,342263,20494,bent,71287054, bent,bent,34
3550,389133127,342263,20494,single component,71287036,single component,component,2
3551,389133357,342263,20494,single component,71287154,single component,component,2
3552,389133357,342263,20494,blended,71287154, blended,blend,153
3553,389133357,342263,20494,host,71287154, host,host,56
3555,389133357,342263,20494,disk,71287154, emission from galaxy disk,disk,22
3556,389133357,342263,20494,space,71287154, emission in space,space,167
3557,389133357,342263,20494,merger,71287154, merger,merger,158
3558,389133357,342263,20494,dragged,71287154, dragged ,drag,168
3559,389133460,342263,20494,single component,71287175,single component,component,2
3560,389133460,342263,20494,complex,71287175, complex,complex,4
3561,389133460,342263,20494,tail,71287175, tail,tail,8
3562,389133460,342263,20494,ring,71287175, ring,ring,164
3563,389133460,342263,20494,uncertain host,71287175, uncertain host,host,56
3564,389133460,342263,20494,blended,71287175, blended ,blend,153
3565,389133592,342263,20494,single component,71287218,single component,component,2
3566,389133592,342263,20494,double,71287218, double,double,35
3567,389133592,342263,20494,triple,71287218, triple,double,35
3568,389133592,342263,20494,core,71287218, core,core,6
3569,389133592,342263,20494,host,71287218, host,host,56
3570,389133592,342263,20494,cluster,71287218, cluster,cluster,71
3571,389133592,342263,20494,elongated,71287218, elongated,elongate,7
3572,389133592,342263,20494,large,71287218, large,large,52
3573,389133592,342263,20494,frame,71287218, off frame,frame,148
3574,389133592,342263,20494,edge brightened,71287218, edge brightened ,brighten,129
3575,384084020,2397633,20494,bright edges,71287055,bright edges,bright,12
3576,384084020,2397633,20494,faint core moving upper left bright edges,71287055, faint core seems to be moving on the upper left side with bright edges behind it,middle,75
3577,384084020,2397633,20494,visible counterpart central image images,71287055, no visible counterpart of the central source of the emu image in the other two images,image,62
3578,384085985,2397633,20494,object single core left half image,71287211,object seems to have a single core in the left half of the image,same,83
3579,384085985,2397633,20494,diffuse emissions left right object core,71287211, diffuse emissions on left and right of the object core,middle,75
3582,384503951,2397633,20494,bright core lower right center,71287295,bright core on lower right of the center,middle,75
3583,384503951,2397633,20494,extended emissions core center,71287295, extended emissions from the source core towards the center,core,6
3586,384504198,2397633,20494,bright core,71287098,bright core,bright,12
3587,384504198,2397633,20494,bright core extended bright lobe coming center right screen,71287098,bright core either has extended bright lobe coming from center to up-right of the screen,bright,12
3589,384504308,2397633,20494,bright core left screen center,71287238,bright core on up-left of the screen center,bright,12
3591,384504584,2397633,20494,center brigth region defined center,71287054,center has a brigth region but no well defined center,center,169
3592,384504584,2397633,20494,bright regions center slight right screen center slight left screen center,71287054, two bright regions next to center with one on up and slight right of the screen center and the other towards down and slight left of the screen center,middle,75
3593,384504857,2397633,20494,central region faint cloud structure,71287229,central region has faint cloud like structure,middle,75
3594,384504857,2397633,20494,left object bright core,71287229, down-left object has bright core,bright,12
3598,384505014,2397633,20494,object single bright core middle screen object bright core center object,71287165,emu object has single bright core in the middle of the screen object and bright core at the bottom center object,bright,12
3601,384505113,2397633,20494,large bright objects center right regions,71287140,large bright objects in center top and right top regions,middle,75
3603,384505476,2397633,20494,center region bright object extended emissions,71287033,center region has a bright object with extended emissions on top,middle,75
3604,384505476,2397633,20494,center bright objects,71287033,center top has two bright objects,bright,12
3607,384505593,2397633,20494,center brgiht core,71287112,emu has center brgiht core,core,6
3610,384505655,2397633,20494,center bright core,71287017,center bright core,bright,12
3612,384505728,2397633,20494,center bright core,71287260,center bright core in the emu,bright,12
3614,384507844,2397633,20494,image cloud structure center region,71287287,emu image has cloud like structure in the center region,center,169
3615,384507844,2397633,20494,bright large core upper left region,71287287, there is a bright large core in the upper left region,middle,75
3618,385240453,2397633,20494,bright core center,71287250,bright core at the center of emu,bright,12
3619,385240453,2397633,20494,visible partial left quarter,71287250, visible partial source in the top left quarter,leave,84
3621,385240740,2397633,20494,bright core center,71287268,bright core in the center,bright,12
3622,385240740,2397633,20494,right image,71287268, source at right side of the image,image,62
3623,385240740,2397633,20494,sources connected weak flux structure,71287268, both sources connected with weak flux structure,source,55
3624,385241043,2397633,20494,bright core image,71287207,bright core in the emu image,bright,12
3627,385241043,2397633,20494,bright left images,71287207, bright source in the left in all images,bright,12
3628,385241043,2397633,20494,bright left,71287207, bright source in the top left of emu,bright,12
3631,385241248,2397633,20494,bright center,71287081,bright source at the center of emu,bright,12
3633,385241248,2397633,20494,bright center,71287081, bright source above the center in emu,bright,12
3635,385241977,2397633,20494,bright center,71287064,bright source at the center of emu,bright,12
3636,385241977,2397633,20494,connected right quarter image,71287064, connected with another source in top right quarter of the image,right,90
3637,385241977,2397633,20494,weak emissions connecting sources,71287064, weak emissions connecting both sources,source,55
3641,385241977,2397633,20494,faint cloud structure right,71287064, emu has faint cloud like structure at the top right,middle,75
3642,385242110,2397633,20494,bright middle,71287103,bright source in the middle of emu,bright,12
3644,385242354,2397633,20494,bright blobs connected faint left image,71287290,two bright blobs connected by faint emission in the left side of the image,bright,12
3646,385242801,2397633,20494,bright blobs center connected faint,71287185,two bright blobs at the center of emu connected by faint emission,bright,12
3647,385242801,2397633,20494,bright right,71287185, bright source in top right of emu,bright,12
3648,385242801,2397633,20494,bright center right region,71287185, bright source in bottom center-right region of emu,middle,75
3650,385243183,2397633,20494,bright left,71287083,bright source at the left of emu,bright,12
3651,385243183,2397633,20494,elongated oval,71287083, elongated oval,elongate,7
3652,385243183,2397633,20494,facing left right,71287083, one side facing top left and other bottom right,right,90
3653,385243183,2397633,20494,partial center left,71287083, partial source at top center-left,right,90
3654,385925205,2397633,20494,bright core right,71287034,bright core on the right,bright,12
3655,385925205,2397633,20494,cloudy structure stretched center screen core,71287034, cloudy structure stretched towards the center of the screen from the core,middle,75
3656,385925479,2397633,20494,bright core center,71287213,bright core at center,bright,12
3657,385925479,2397633,20494,extended left,71287213, extended emission towards top left,middle,75
3658,385925479,2397633,20494,posssible companion component core,71287213, posssible companion component with the core,component,2
3660,385925612,2397633,20494,bright core center,71287018,bright core at center,bright,12
3661,385925612,2397633,20494,bright core left screen contours,71287018, bright core in left side of the screen contours,bright,12
3664,385927348,2397633,20494,bright core middle,71287159,bright core in emu middle,bright,12
3669,385928196,2397633,20494,faint core middle,71287158,faint core in the middle,middle,75
3670,385928196,2397633,20494,bright core right,71287158, bright core in top right,bright,12
3671,385928196,2397633,20494,bright core middle left,71287158, bright core in middle left,middle,75
3672,385928442,2397633,20494,bright core middle,71287195,bright core in the middle,bright,12
3673,385928442,2397633,20494,faint surrounding bright core,71287195, faint emission surrounding bright core,bright,12
3674,385928442,2397633,20494,faint cloud right,71287195, faint cloud on top right,faint,3
3675,385929603,2397633,20494,connected bright blobs middle,71287107,connected bright blobs in the middle of emu,bright,12
3676,385929603,2397633,20494,bright large core right,71287107, bright large core on top right of emu,bright,12
3679,385929797,2397633,20494,bright core middle,71287294,bright core in emu middle,bright,12
3682,385929797,2397633,20494,bright partial left,71287294, bright partial source in emu bottom left,bright,12
3684,387471600,2397633,20494,bright core middle,71287082,bright core in the middle,bright,12
3687,387471628,2397633,20494,bright core middle,71287108,bright core in emu middle,bright,12
3690,387471714,2397633,20494,irregular shape,71287291,irregular shape emission,irregular,5
3691,387471714,2397633,20494,bright core,71287291, bright core,bright,12
3695,387475652,2397633,20494,bright edges,71287099,bright edges,bright,12
3696,387475652,2397633,20494,weak emissions connecting edges,71287099, weak emissions connecting two edges,weak,170
3699,387475735,2397633,20494,bright core,71287249,bright core,bright,12
3700,387475735,2397633,20494,bright middle core surrounded weaker emissions,71287249, bright middle core surrounded by weaker emissions,middle,75
3701,387475735,2397633,20494,bright irregular right image,71287249, bright irregular source at top right of emu image,bright,12
3704,387475794,2397633,20494,jet coming left middle,71287184,jet like emission coming from left to middle,middle,75
3705,387475794,2397633,20494,left brighter middle,71287184, left is brighter than middle,middle,75
3706,387475889,2397633,20494,bright core middle,71287063,bright core in the middle in emu,bright,12
3707,387475889,2397633,20494,bright middle core neighbouring smaller sources,71287063, bright middle core has neighbouring smaller sources in emu,middle,75
3708,387475889,2397633,20494,bright left screen,71287063, bright emission on the left of the screen in emu,bright,12
3711,387480980,2397633,20494,faint middle,71287129,faint source in the middle of emu,faint,3
3712,387480980,2397633,20494,bright right middle image,71287129, bright source on the right of middle in emu image,middle,75
3714,387481133,2397633,20494,bright middle,71287237,bright source in the middle of emu,bright,12
3715,387481133,2397633,20494,bright middle core extended lower right,71287237, bright middle source core has extended emission in lower right,middle,75
3718,387481268,2397633,20494,bright core middle,71287167,bright core in the middle of emu,bright,12
3719,387481268,2397633,20494,bright right,71287167, bright source at the right of emu,bright,12
3722,387631319,2397633,20494,faint middle,71287214,faint emission in the middle of emu,faint,3
3723,387631319,2397633,20494,bright connected right,71287214, bright connected source in the bottom right of emu,bright,12
3725,387631475,2397633,20494,bright core middle,71287259,bright core in the middle of emu,bright,12
3728,387631704,2397633,20494,bright core surrounded faint,71287141,bright core surrounded by faint emission in emu,bright,12
3730,387631818,2397633,20494,middle,71287289,no source in emu middle,middle,75
3732,387631888,2397633,20494,bright middle,71287160,bright source in emu middle,bright,12
3734,388658151,2397633,20494,brighter core extended emissions middle,71287236,brighter core with extended emissions of emu middle,middle,75
3737,388658295,2397633,20494,bright core middle,71287206,bright core in the emu middle,bright,12
3740,388659036,2397633,20494,jet emissions middle,71287001,jet like emissions in the emu middle,jet,18
3741,388659036,2397633,20494,middle left bright core,71287001, middle left of emu has a bright core,middle,75
3744,388659480,2397633,20494,fainter cloud middle,71287144,fainter cloud in the middle of emu,faint,3
3745,388659480,2397633,20494,middle fainter cloud connected brighter core lower right,71287144, emu middle fainter cloud is connected with a brighter core on the lower right,middle,75
3747,388659743,2397633,20494,bright core middle extended right,71287276,bright core in emu middle with extended emission on right,middle,75
3750,388659948,2397633,20494,faint cloud middle,71287242,faint cloud in the emu middle,faint,3
3751,388659948,2397633,20494,bright core middle left,71287242, bright core in the middle-left of emu,middle,75
3753,388660095,2397633,20494,bright core middle,71287224,bright core in the emu middle,bright,12
3756,388660219,2397633,20494,bright core middle,71287007,bright core in the emu middle,bright,12
3759,388660662,2397633,20494,faint middle,71287143,faint emission in emu middle,faint,3
3760,388660662,2397633,20494,middle bright emissions connected faint middle,71287143, middle-up emu has bright emissions connected with faint middle emission of emu,middle,75
3761,388660827,2397633,20494,bright core,71287187,bright core in emu,bright,12
3762,388660827,2397633,20494,bright core connected bent faint emissions,71287187, bright core connected with bent faint emissions in emu,bright,12
3763,388661222,2397633,20494,bright spread middle,71287226,bright spread emission in the emu middle,middle,75
3764,388661222,2397633,20494,bright middle connected bright left bright,71287226, bright middle emission connected with bright top left bright emission in emu,bright,12
3766,388661499,2397633,20494,faint middle,71287028,faint emission in the emu middle,faint,3
3767,388661499,2397633,20494,middle faint connected bright right,71287028, emu middle faint emission connected with a bright source on top right,middle,75
3768,388661673,2397633,20494,faint middle,71287138,faint emission in the emu middle,faint,3
3769,388661673,2397633,20494,middle fiant connected bright core right,71287138, middle fiant emission is connected with bright core in bottom right of emu,middle,75
3770,388661810,2397633,20494,bright core middle,71287273,bright core in emu middle,bright,12
3773,388661947,2397633,20494,faint middle,71287169,faint emission in emu middle,faint,3
3774,388661947,2397633,20494,bright core middle,71287169, bright core below the emu middle ,bright,12
3775,388662108,2397633,20494,bright middle,71287225,bright source in emu middle,bright,12
3778,388662241,2397633,20494,bright middle,71287128,bright source in emu middle,bright,12
3781,388662360,2397633,20494,faint middle,71287113,faint emission in emu middle,faint,3
3782,388662360,2397633,20494,bright core right faint middle,71287113, bright core on right of faint middle emission in emu,bright,12
3783,388662416,2397633,20494,bent bright middle,71287256,bent bright source in emu middle,middle,75
3784,388662531,2397633,20494,bright core middle,71287148,bright core in emu middle,bright,12
3787,388662631,2397633,20494,bright elongated oval middle,71287296,bright elongated oval in emu middle,bright,12
3789,388662842,2397633,20494,faint middle,71287161,faint emission in emu middle,faint,3
3790,388662842,2397633,20494,bright core connected lower left faint middle,71287161, bright core connected with lower left of faint middle in emu,middle,75
3791,388662987,2397633,20494,bright middle,71287199,bright source in emu middle,bright,12
3794,388663169,2397633,20494,faint middle,71287175,faint emission in emu middle,faint,3
3795,388663169,2397633,20494,bright blob left faint middle,71287175, bright blob on up left of faint middle of emu,bright,12
3796,388663263,2397633,20494,bent bright middle,71287119,bent bright source in emu middle,middle,75
3798,388663514,2397633,20494,bright core extended surrounding middle,71287278,bright core with extended surrounding emission in emu middle,middle,75
3801,388663854,2397633,20494,bright middle,71287188,bright source in emu middle,bright,12
3802,388663854,2397633,20494,middle extended emissions right lower right,71287188, middle source has extended emissions on right and lower right in emu,middle,75
3805,388664006,2397633,20494,faint middle,71287288,faint emission in emu middle,faint,3
3806,388664006,2397633,20494,right region bright core,71287288, top right region has bright core in emu,middle,75
3809,388664380,2397633,20494,faint irregular middle,71287012,faint irregular emission in emu middle,faint,3
3812,388790625,2397633,20494,bright core bent emissions middle,71287209,bright core with bent emissions in the middle of emu,middle,75
3815,388790689,2397633,20494,bright core middle,71287106,bright core in the middle of emu,bright,12
3816,388790689,2397633,20494,bright middle core extended left,71287106, bright middle core of emu has extended emission towards top left,middle,75
3817,388790743,2397633,20494,bright blob surrounding faint middle,71287024,bright blob with surrounding faint emission in emu middle,bright,12
3820,388790823,2397633,20494,bright core bent emissions middle,71287194,bright core with bent emissions in emu middle,middle,75
3823,388790907,2397633,20494,irregular bright middle,71287220,irregular bright source in emu middle,bright,12
3826,388791067,2397633,20494,double edge fainter center middle,71287029,double edge source with fainter center in emu middle,middle,75
3829,388791218,2397633,20494,faint middle,71287093,faint emission in the emu middle,faint,3
3830,388791218,2397633,20494,bright core faint middle,71287093, bright core below faint middle emission of emu,bright,12
3831,388791218,2397633,20494,faint bright core image,71287093, faint emission below the bright core and at the bottom of the emu image ,bright,12
3832,388791339,2397633,20494,bright blob connected fainter blob faint center middle,71287125,one bright blob connected with a fainter blob with very faint center emission in emu middle,bright,12
3835,388791379,2397633,20494,bright middle,71287231,bright source at emu middle,bright,12
3838,388791431,2397633,20494,bright irregurlar middle,71287111,bright irregurlar source at emu middle,bright,12
3841,388791479,2397633,20494,bright coure extended bent middle,71287040,bright coure with extended bent emission at emu middle,middle,75
3844,388791496,2397633,20494,bright core bent middle,71287109,bright core with bent emission in emu middle,middle,75
3845,388791516,2397633,20494,faint middle,71287180,faint source in emu middle,faint,3
3848,388791568,2397633,20494,bright blob bent surrounding middle,71287198,bright blob with bent emission surrounding emu middle,middle,75
3851,388791626,2397633,20494,faint middle,71287156,faint emission in emu middle,faint,3
3852,388791626,2397633,20494,faint middle connected bright core upper right region,71287156, faint middle emission is connected with bright core in upper right region in emu,middle,75
3853,388791681,2397633,20494,bright irregular fainter middle,71287135,bright irregular source with fainter part in emu middle,bright,12
3856,388791713,2397633,20494,faint middle,71287152,faint emission in emu middle,faint,3
3857,388791713,2397633,20494,bright core faint middle,71287152, bright core below the faint middle emission in emu,bright,12
3858,388791739,2397633,20494,bright core surrounded weaker middle region,71287013,bright core surrounded by weaker emission in emu middle region,middle,75
3859,388830385,2397633,20494,bright irregular middle,71287223,bright irregular source in emu middle,bright,12
3862,388830635,2397633,20494,faint middle,71287168,faint emission in emu middle,faint,3
3863,388830635,2397633,20494,bright core right faint middle,71287168, bright core in bottom right of faint emu middle emission,bright,12
3864,388830635,2397633,20494,bright sources,71287168, emu top has bright sources,bright,12
3866,388830962,2397633,20494,faint middle,71287116,faint emission in emu middle,faint,3
3867,388830962,2397633,20494,bright sources right region,71287116, two bright sources in bottom right region of emu,middle,75
3870,388831298,2397633,20494,bright middle,71287201,bright source in emu middle,bright,12
3871,388831298,2397633,20494,bright right region faint lower left,71287201, bright source in up right region of emu with faint emission on its lower left,middle,75
3872,388831399,2397633,20494,bright core middle,71287255,bright core in emu middle,bright,12
3873,388831399,2397633,20494,bright core surrounded weak,71287255, bright core surrounded by weak emission,bright,12
3874,388831716,2397633,20494,bright cores connected faint bright core middle,71287280,two bright cores connected via faint emission with one bright core in emu middle,bright,12
3875,388831818,2397633,20494,bright core region middle,71287127,bright core in the region above emu middle,middle,75
3876,388831818,2397633,20494,middle,71287127, emu middle has no source,middle,75
3877,388831942,2397633,20494,bent middle,71287205,bent source in emu middle,bent,34
3878,388831942,2397633,20494,bright core bent middle,71287205, bright core below the bent middle source in emu,middle,75
3879,388832262,2397633,20494,bright core middle,71287244,bright core in emu middle,bright,12
3883,388832391,2397633,20494,bright core middle,71287208,bright core in emu middle,bright,12
3886,388832552,2397633,20494,faint middle connected bright blobs,71287067,faint emission in emu middle connected with two bright blobs,bright,12
3887,388832802,2397633,20494,bright core surround weaker emissions middle,71287078,bright core with surround weaker emissions in emu middle,middle,75
3890,388832984,2397633,20494,faint middle,71287241,faint source in emu middle,faint,3
3891,388832984,2397633,20494,faint middle connected bright upper right,71287241, faint emu middle source is connected with bright source on upper right of emu,middle,75
3892,388833189,2397633,20494,faint middle,71287173,faint emission in emu middle,faint,3
3893,388833189,2397633,20494,bright elongated upper right region,71287173, bright elongated source in upper right region of emu,middle,75
3894,388833500,2397633,20494,faint middle,71287122,faint emission in emu middle,faint,3
3899,388833675,2397633,20494,bright core middle,71287087,bright core in emu middle,bright,12
3900,388833675,2397633,20494,middle bright core connected fainter core lower left fainter,71287087, emu middle bright core connected with a fainter core on lower left via fainter emission,middle,75
3901,388833947,2397633,20494,bright irregular middle,71287270,bright irregular source in emu middle,bright,12
3904,388834389,2397633,20494,faint middle connected bright core left,71287204,faint emission in emu middle connected with bright core on up left,middle,75
3907,388834633,2397633,20494,large jet covering middle upper left,71286999,large jet like emission covering middle and upper left of emu,middle,75
3908,389018467,2397633,20494,bright core middle,71287019,bright core in the middle of emu,bright,12
3909,389018467,2397633,20494,bright lower right middle,71287019, bright source on lower right of the middle of emu,middle,75
3914,389018632,2397633,20494,bright core emitting jet middle,71287062,bright core emitting jet in the emu middle,bright,12
3915,389018632,2397633,20494,fainter upper right middle,71287062, fainter source on upper right of middle emu source,middle,75
3916,389018632,2397633,20494,fainter lower left middle,71287062, fainter source on lower left of middle emu source,middle,75
3917,389018838,2397633,20494,bright blob middle,71287066,bright blob in the middle of emu,bright,12
3918,389018838,2397633,20494,faint left bright middle blob,71287066, faint emission on the left of the bright middle blob of emu,bright,12
3923,389018908,2397633,20494,bright core middle,71287240,bright core in emu middle,bright,12
3924,389018908,2397633,20494,surrounding fainter bright middle core,71287240, surrounding fainter emission of the bright emu middle core,bright,12
3927,389019077,2397633,20494,bright blob middle,71287197,bright blob in the middle of emu,bright,12
3928,389019077,2397633,20494,bright middle core connected bright blob lower right faint,71287197, bright middle core connected with another bright blob on lower right via faint emission in emu,bright,12
3931,389019192,2397633,20494,bright core middle,71287282,bright core in emu middle,bright,12
3932,389019192,2397633,20494,fainter emissions upper left middle bright core,71287282, fainter emissions on upper left of emu middle bright core,middle,75
3935,389019288,2397633,20494,faint middle,71287050,faint emission in emu middle,faint,3
3936,389019288,2397633,20494,bright faint middle emisssion,71287050, bright source below faint emu middle emisssion,bright,12
3937,389019406,2397633,20494,bright core connected fainter middle contour,71287147,bright core connected with fainter emission in emu middle contour,bright,12
3940,389019487,2397633,20494,bright core middle,71287293,bright core in emu middle,bright,12
3941,389019487,2397633,20494,bright core middle surrounded irregular fainter,71287293, bright core in emu middle surrounded by irregular fainter emission,middle,75
