,classification_id,user_id,workflow_id,annotations,subject_ids,original_annotations,most_similar,codes
161,389610292,2410044,20494,marginal detection,71287109, marginal detection,detection,9
162,389610693,2410044,20494,core visible,71287291,core visible,core,6
163,389610693,2410044,20494,component,71287291, two-component,component,2
164,389610822,2410044,20494,diffuse,71287047,diffuse,diffuse,20
165,389610822,2410044,20494,irregular shape,71287047, irregular shape,irregular,5
166,389610966,2410044,20494,compact,71287140,compact,compact,0
167,389610966,2410044,20494,marginal detection,71287140, marginal detection,detection,9
168,389611167,2410044,20494,l shaped,71287085,l-shaped emission,l,31
169,389612243,2410044,20494,compact,71287135,compact,compact,0
170,389612243,2410044,20494,slightly extended,71287135, slightly extended west,slightly,10
171,389612316,2410044,20494,elongated,71287192,elongated,elongate,7
172,389612401,2410044,20494,compact,71287252,compact,compact,0
173,389612401,2410044,20494,slightly extended southeast,71287252, slightly extended towards southeast,slightly,10
174,389612516,2410044,20494,compact component,71287294,compact component,compact,0
175,389612516,2410044,20494,patchy,71287294, patchy emission around,patchy,30
176,389623563,2410044,20494,extended,71287152,extended,extend,1
177,389623563,2410044,20494,v shaped,71287152, v-shaped,v,16
178,389623633,2410044,20494,jets,71287067,two jets,jet,18
179,389623633,2410044,20494,compact core visible,71287067, compact core not visible,core,6
180,389623659,2410044,20494,compact,71287149,compact,compact,0
181,389623659,2410044,20494,roundish,71287149, roundish,roundish,19
182,389623717,2410044,20494,compact,71287008,compact,compact,0
183,389623717,2410044,20494,extension,71287008, extension towards south,extension,25
184,389623787,2410044,20494,diffuse,71287222,diffuse,diffuse,20
185,389623787,2410044,20494,irregular shape,71287222, irregular shape,irregular,5
186,389624311,2410044,20494,compact,71287265,compact,compact,0
187,389624311,2410044,20494,extended counterpart,71287265, extended counterpart,extend,1
188,389624359,2410044,20494,component,71287073,two-component,component,2
189,389624359,2410044,20494,elongated,71287073, elongated,elongate,7
190,389624422,2410044,20494,jet,71287043,jet emission,jet,18
191,389624422,2410044,20494,western,71287043, western part of another source,western,32
192,389626461,2410044,20494,compact,71287012,compact,compact,0
193,389626461,2410044,20494,slightly extended,71287012, slightly extended north,slightly,10
194,389626578,2410044,20494,elongated,71287027,elongated,elongate,7
195,389626578,2410044,20494,diffuse,71287027, diffuse,diffuse,20
196,389626613,2410044,20494,compact,71287275,compact,compact,0
197,389626613,2410044,20494,elliptical,71287275, elliptical,elliptical,33
198,389627265,2410044,20494,component,71287032,two-component,component,2
199,389627265,2410044,20494,jet,71287032, jet-like emission,jet,18
200,389627324,2410044,20494,component,71287185,two-component,component,2
201,389627422,2410044,20494,component,71287107,two-component,component,2
203,389627493,2410044,20494,compact roundish,71287038,compact roundish,roundish,19
204,389627542,2410044,20494,compact,71287148,compact,compact,0
205,389627542,2410044,20494,slightly elongated,71287148, slightly elongated,elongate,7
206,389627704,2410044,20494,elongated,71287261,elongated,elongate,7
207,389627704,2410044,20494,boxy,71287261, boxy,boxy,26
208,389627740,2410044,20494,compact,71287116,compact,compact,0
209,389627740,2410044,20494,extended counterpart,71287116, extended counterpart,extend,1
210,390083375,2003327,20494,extended,71287143,extended,extend,1
