,classification_id,user_id,workflow_id,annotations,subject_ids
148,390088853,2003327,20494,"single, elongated, amorphous",71287261
149,390088942,2003327,20494,"triple, three lobe, extended, elongated, diffuse",71287105
150,390089006,2003327,20494,"double, two lobe, compact, elongated",71287066
151,390089039,2003327,20494,"single, compact, faint",71287094
152,390089073,2003327,20494,"single, compact, elongated",71287021
153,390089135,2003327,20494,"single, compact, extended",71287274
154,390089155,2003327,20494,"single, compact",71287159
155,390089174,2003327,20494,"single, faint",71287129
156,390089194,2003327,20494,"single, compact, faint",71287243
157,390089230,2003327,20494,"single, extended, diffuse, faint",71287027
158,390089304,2003327,20494,"double, two lobe, extended, diffuse",71287020
159,390089362,2003327,20494,"double, two lobe, extended, faint",71287055
160,390089434,2003327,20494,"double, two lobe, extended, elongated, diffuse, amorphous",71287001
161,390089507,2003327,20494,"single, elongated, extended",71287269
162,390089589,2003327,20494,"single, extended, missing data",71287110
163,390089838,2003327,20494,"double, two lobe, extended, elongated",71287190
164,390089870,2003327,20494,"single, compact",71287127
165,390089897,2003327,20494,"single, compact, faint",71287245
166,390090185,2003327,20494,"single, elongated, faint",71287072
167,390090221,2003327,20494,"double, two lobe, extended, elongated",71287263
168,390090289,2003327,20494,"single, extended, faint",71287030
169,390090335,2003327,20494,"single, extended, amorphous",71287040
170,390090501,2003327,20494,"double, two lobe, extended, elongated",71287029
171,390090619,2003327,20494,"double, two lobe, extended, compact, faint",71287164
172,390090741,2003327,20494,"triple, three lobe, extended, elongated, compact",71287090
173,390090838,2003327,20494,"single, elongated",71287262
174,390090908,2003327,20494,"triple, three lobe, extended, faint",71287014
175,390091022,2003327,20494,"single, elongated, extended, diffuse",71287211
176,390091132,2003327,20494,"triple, three lobe, extended, elongated, compact, missing data",71287093
177,390091214,2003327,20494,"single, elongated, faint",71287282
178,390091292,2003327,20494,"triple, three lobe, extended, elongated, faint, amorphous",71287284
179,390091349,2003327,20494,"double, two lobe, elongated, faint",71287099
180,390091377,2003327,20494,"single, faint",71287026
181,390091432,2003327,20494,"single, elongated, faint",71287205
182,390091711,2003327,20494,"triple, three lobe, extended, elongated, continues offscreen",71287281
183,390091990,2003327,20494,"double, two lobe, extended, amorphous",71287161
184,390092024,2003327,20494,"double, two lobe, extended, continues offscreen",71287042
185,390092051,2003327,20494,"single, faint",71287232
186,390092097,2003327,20494,"single, faint",71287150
187,390092115,2003327,20494,"single, elongated, faint",71287260
188,390092248,2003327,20494,"single, elongated, bent, tailed",71287177
189,390092504,2003327,20494,"double, two lobe, extended, elongated",71287080
190,390092518,2003327,20494,"single, compact",71287128
191,390092556,2003327,20494,"single, elongated, faint",71287283
192,390092644,2003327,20494,"double, two lobe, extended, elongated, diffuse, amorphous, continues offscreen",71287022
193,390092697,2003327,20494,"single, elongated, faint",71287049
194,390092723,2003327,20494,"double, extended, compact, faint",71287238
195,390092765,2003327,20494,"double, extended, compact, faint",71287013
196,390092791,2003327,20494,"double, extended, elongated, faint",71287215
197,390092825,2003327,20494,"double, extended, compact, faint",71287088
198,390092853,2003327,20494,"single, extended, elongated, diffuse, amorphous",71287083
199,390092880,2003327,20494,"single, elongated, faint",71287160
