,lemmatization,similarity_threshold,expert_threshold,tag_count,weighted_f1,macro_f1
55,no_lemmatization,0.6,0.8,150,0.36927899686520377,0.4634146341463415
56,no_lemmatization,0.65,0.2,168,0.16613684707341975,0.21330517423442452
57,no_lemmatization,0.65,0.4,168,0.17717363784779513,0.2522522522522523
58,no_lemmatization,0.65,0.6,168,0.23162157012195123,0.3333333333333333
59,no_lemmatization,0.65,0.8,168,0.37002652519893897,0.45569620253164556
60,no_lemmatization,0.7,0.2,177,0.18107341757140852,0.22916666666666669
61,no_lemmatization,0.7,0.4,177,0.17589713657129386,0.2507462686567164
62,no_lemmatization,0.7,0.6,177,0.22738715277777777,0.32487309644670054
63,no_lemmatization,0.7,0.8,177,0.3490499648135116,0.42105263157894735
64,no_lemmatization,0.75,0.2,203,0.18619768650087995,0.23443983402489627
65,no_lemmatization,0.75,0.4,203,0.18237247941027307,0.2574850299401198
66,no_lemmatization,0.75,0.6,203,0.22738715277777777,0.32487309644670054
67,no_lemmatization,0.75,0.8,203,0.35632183908045967,0.4358974358974359
68,no_lemmatization,0.8,0.2,233,0.19015535798413044,0.24041450777202072
69,no_lemmatization,0.8,0.4,233,0.16947940947940945,0.24848484848484848
70,no_lemmatization,0.8,0.6,233,0.2521599264705882,0.3434343434343434
71,no_lemmatization,0.8,0.8,233,0.36304489264801565,0.45000000000000007
72,no_lemmatization,0.85,0.2,249,0.20994749693366424,0.2608695652173913
73,no_lemmatization,0.85,0.4,249,0.16947940947940945,0.24848484848484848
74,no_lemmatization,0.85,0.6,249,0.22738715277777777,0.32487309644670054
75,no_lemmatization,0.85,0.8,249,0.3494694960212201,0.430379746835443
76,no_lemmatization,0.9,0.2,261,0.20033163556559863,0.2507836990595611
77,no_lemmatization,0.9,0.4,261,0.17174210404979637,0.2537764350453172
78,no_lemmatization,0.9,0.6,261,0.22738715277777777,0.32487309644670054
79,no_lemmatization,0.9,0.8,261,0.33536173089925625,0.4102564102564103
80,no_lemmatization,0.95,0.2,266,0.19320575758807873,0.24141519250780438
81,no_lemmatization,0.95,0.4,266,0.16343973486830626,0.24316109422492402
82,no_lemmatization,0.95,0.6,266,0.23575395331325302,0.3417085427135679
83,no_lemmatization,0.95,0.8,266,0.36304489264801565,0.45000000000000007
84,no_lemmatization,1.0,0.2,268,0.18793994438838277,0.23799582463465557
85,no_lemmatization,1.0,0.4,268,0.17174210404979637,0.2537764350453172
86,no_lemmatization,1.0,0.6,268,0.23575395331325302,0.3417085427135679
87,no_lemmatization,1.0,0.8,268,0.33536173089925625,0.4102564102564103
