,subject_ids,amorphous,asymmetric brightness,asymmetric structure,bent,bridge,compact,core,diffuse,double,edge brightened,extended,faint,host,hourglass,jet,lobe,merger,peak,plume,small,tail,traces host galaxy,coordinates
254,71287252,1,0,1,0,1,1,0,0,3,0,3,2,1,0,0,0,0,0,0,3,0,0,J205806-554618
255,71287253,0,1,2,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,J205813-550510
256,71287254,0,0,1,1,0,3,0,1,1,0,2,0,2,0,0,0,0,1,1,0,2,1,J205836-540904
257,71287255,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,J205837-575639
258,71287256,0,0,1,3,0,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,1,1,J205840-551651
259,71287257,0,1,0,1,1,0,0,0,3,1,2,1,1,0,0,0,0,1,0,0,0,1,J205840-565530
260,71287258,0,0,0,0,0,0,1,4,2,0,2,1,0,0,0,0,0,0,0,0,1,0,J205840-573709
261,71287259,0,0,0,0,0,1,0,2,0,0,3,0,2,0,1,0,0,1,0,0,0,0,J205842-562951
262,71287260,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0,2,2,0,J205850-532040
263,71287261,2,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,0,1,0,0,0,0,J205852-535252
264,71287262,0,0,2,0,0,2,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,J205859-581315
265,71287263,0,0,0,0,1,0,0,1,4,2,1,1,2,0,1,1,0,2,0,0,1,0,J205931-573440
266,71287264,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,J205943-535852
267,71287265,0,0,0,2,0,1,1,0,1,0,1,1,2,0,0,0,0,1,0,1,0,1,J205951-575121
268,71287266,0,0,0,0,0,0,0,2,1,1,4,1,2,1,0,0,0,1,0,0,0,2,J205956-553347
269,71287267,0,0,1,2,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,2,1,0,J210005-562351
270,71287268,0,0,0,5,1,0,0,2,3,1,2,0,1,0,0,0,0,1,0,0,0,0,J210006-551549
271,71287269,0,0,0,3,1,0,1,3,1,0,5,0,1,0,0,1,0,0,1,0,0,0,J210019-551528
272,71287270,1,0,0,0,0,2,0,0,1,0,1,1,4,0,0,0,0,1,0,2,0,0,J210024-533215
273,71287271,0,0,0,0,1,0,1,0,6,1,2,0,3,1,1,0,0,3,0,0,0,0,J210026-555346
274,71287272,1,0,0,0,0,2,2,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,J210039-542913
275,71287273,0,0,0,0,0,4,0,0,0,0,1,1,3,0,0,0,0,2,0,1,0,1,J210113-571426
276,71287274,0,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,J210116-554334
277,71287275,0,0,2,0,0,2,0,3,0,0,5,0,2,0,0,0,0,1,0,0,0,0,J210146-544617
278,71287276,0,1,1,0,0,0,1,1,5,1,1,0,1,0,1,0,0,1,0,0,0,0,J210148-562711
279,71287277,1,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,J210149-575645
280,71287278,0,0,0,0,0,0,1,2,0,0,1,0,3,0,0,0,0,1,0,0,0,1,J210210-550442
281,71287279,0,0,0,0,0,0,0,1,3,1,2,1,2,1,1,1,0,3,0,0,0,0,J210216-542336
282,71287280,0,1,0,1,1,0,0,1,3,1,2,0,2,0,1,1,0,1,1,0,0,0,J210221-542419
283,71287281,0,0,0,1,0,0,1,1,2,1,3,0,2,0,0,1,0,0,0,0,0,0,J210229-543434
284,71287282,1,0,1,0,0,0,1,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,J210234-580404
285,71287283,1,0,1,0,1,1,0,0,1,0,0,3,2,0,1,0,0,0,0,1,0,1,J210236-552927
286,71287284,1,0,1,1,1,0,0,2,2,0,4,2,3,0,0,0,0,3,0,0,0,1,J210238-552625
287,71287285,0,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,J210238-564630
288,71287286,0,1,0,0,0,1,0,2,3,1,0,0,2,1,0,0,0,1,0,0,0,1,J210242-554454
289,71287287,0,0,0,3,1,0,1,0,1,0,4,0,2,0,0,0,0,2,0,0,1,0,J210247-555248
290,71287288,1,0,1,2,0,0,1,1,0,0,0,2,2,0,0,0,0,1,0,0,1,0,J210257-542935
291,71287289,1,0,0,0,0,1,1,2,0,0,1,2,1,0,0,0,0,0,0,1,0,0,J210257-562050
292,71287290,0,1,0,2,0,0,0,1,2,0,0,0,3,0,0,0,0,2,0,0,2,0,J210339-554257
293,71287291,0,0,0,4,0,0,0,1,1,0,2,1,1,0,0,0,0,3,0,0,1,0,J210358-545337
294,71287292,1,0,0,0,0,1,0,0,0,0,1,0,4,0,1,1,0,1,0,0,0,0,J210458-573046
295,71287293,1,0,1,0,0,1,1,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,J210501-563858
296,71287294,0,0,0,1,0,1,1,0,2,0,0,0,1,0,1,0,0,3,0,0,1,1,J210506-551429
297,71287295,0,2,1,0,1,0,1,0,2,1,1,0,3,0,1,0,0,2,0,0,0,0,J210515-571319
298,71287296,0,1,0,0,0,1,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,1,J210619-564827
